Rank,Name,Overall %,EV,Win %,Tie %,Occurrence %,Cumulative %
31,A3s,13.9705,0.397,12.687,2.8381,0.3016,12.8211
32,KJo,13.9399,0.3939,12.8381,2.463,0.9049,13.726
33,A6s,13.9239,0.3923,12.5394,3.0883,0.3016,14.0277
34,QJo,13.69,0.369,12.5756,2.4947,0.9049,14.9326
35,77,13.6502,0.365,13.2898,0.8519,0.4524,15.3851
36,A2s,13.5835,0.3583,12.3921,2.629,0.3016,15.6867
37,K8s,13.5721,0.3572,12.417,2.6145,0.3015,15.9883
38,T8s,13.5495,0.3549,12.366,2.678,0.3016,16.29
39,98s,13.3826,0.3382,12.3427,2.3444,0.3017,16.5917
40,ATo,13.3573,0.3357,12.0822,2.8535,0.9049,17.4966
41,J8s,13.2426,0.3242,12.1165,2.5528,0.3016,17.7983
42,Q8s,13.1975,0.3197,12.0906,2.5091,0.3016,18.1
43,K7s,13.136,0.3136,11.9253,2.734,0.3015,18.4015
44,KTo,13.0772,0.3077,11.8556,2.7384,0.9048,19.3064
45,JTo,13.0707,0.307,11.8,2.8515,0.9049,20.2114
46,66,13.0337,0.3033,12.6753,0.8515,0.4524,20.6638
47,QTo,12.9114,0.2911,11.6847,2.7534,0.905,21.5689
48,K6s,12.7703,0.277,11.5222,2.8132,0.3016,21.8705
49,87s,12.7272,0.2727,11.6973,2.3222,0.3016,22.1721
50,K5s,12.5154,0.2515,11.2451,2.8617,0.3016,22.4738
51,97s,12.4843,0.2484,11.4361,2.3703,0.3017,22.7755
52,55,12.3762,0.2376,12.0185,0.8579,0.4524,23.228
